id,title,vote_average,vote_count,status,release_date,revenue,runtime,budget,imdb_id,original_language,original_title,overview,popularity,tagline,genres,production_companies,production_countries,spoken_languages,cast,director,director_of_photography,writers,producers,music_composer,imdb_rating,imdb_votes,poster_path,year,profit,roi,imdb_url
86,Cirque du Soleil: Worlds Away,7.0,166.0,Released,2012-11-09,34153101.0,91.0,0.0,tt1792647,en,Cirque du Soleil: Worlds Away,"An original story featuring performances by Cirque du Soleil. A young woman is entranced by an Aerialist. When they fall into the dreamlike world of Cirque du Soleil and are separated, they travel through the different tent worlds trying to find each other.",6.784,Experience a Journey Like Never Before,"Fantasy, Family, Music, Drama, Romance",Reel FX Creative Studios,United States of America,English,"Sophia Elisabeth, Igor Zaripov, Lutz Halbhubner, Jason Berrent, Dallas Barnett, Erica Linz, Matt Gillanders, Andy Jones",Andrew Adamson,Brett Turnbull,Andrew Adamson,"James Cameron, Andrew Adamson, Aron Warner, Martin Bolduc","Stephen Barton, Benoit Jutras",6.7,8306.0,https://www.themoviedb.org/t/p/w600_and_h900_bestv2/jAt4ugebhXKmAnirHAWe5P6gnMi.jpg,2012,34153101.0,0.0,https://www.imdb.com/title/tt1792647/
87,The Signal,6.0,1691.0,Released,2014-03-15,2665322.0,97.0,4000000.0,tt2910814,en,The Signal,"On a road trip, Nic and two friends are drawn to an isolated area by a computer genius. When everything suddenly goes dark, Nic regains consciousness – only to find himself in a waking nightmare.",16.883,R U Agitated?,"Thriller, Science Fiction","Signal Film Group, Low Spark Films, Automatik Entertainment, Focus Features",United States of America,English,"Jeffrey Grover, Ricardo Campos, Beau Knapp, Robert Longstreet, Drew Sykes, Lin Shaye, Timothy Holmes, Laurence Fishburne, Olivia Cooke, Patrick Davidson, Brenton Thwaites, Roy Kenny",William Eubank,David Lanzenberg,"Carlyle Eubank, David Frigerio, William Eubank","Richard Rothfeld, Tyler Davidson, Brian Kavanaugh-Jones, Peter Schlessel, Lia Buman",Nima Fakhrara,6.0,70965.0,https://www.themoviedb.org/t/p/w600_and_h900_bestv2/r5v3gzfxtnO9bKebs5Ujee6LLP1.jpg,2014,0.0,0.0,https://www.imdb.com/title/tt2910814/
88,Paranoia,5.732,855.0,Released,2013-08-14,17056265.0,106.0,35000000.0,tt1413495,en,Paranoia,"An entry-level employee at a powerful corporation finds himself occupying a corner office, but at a dangerous price—he must spy on his boss's old mentor to secure for him a multi-billion dollar advantage.",2.3664,In a war between kings even a pawn can change the game.,"Drama, Thriller","Relativity Media, Kintop Pictures, Reliance Entertainment, IM Global, Demarest Films, EMJAG Productions, Film 360","India, United States of America",English,"Mark Moses, Charlie Hofheimer, Anthony Mecca, Nicolas Torrens, Will Peltz, Haley Finnegan, Brendan Dooling, Julian McMahon, Brett G. Smith, Amber Heard, Dennisha Pratt, Lucas Till, Gavin-Keith Umeh, Angela Sarafyan, Jennifer Cormack, Josh Holloway, Christine Marzano, Jen Kober, John Wooten, David Winning, Dani Garza, Isidora Goreshter, Gary Oldman, Kevin Kilner, Mark Kochanowicz, Richard Dreyfuss, Alex Schoenauer, Harrison Ford, Embeth Davidtz, Joel Nagle, Jeffrey Mowery, Liam Hemsworth, Rebecca Pace, Todd Hedrick, Meredith Eaton, Tyerise Foreman, Paul Uipi, Rebeka Choudhury",Robert Luketic,David Tattersall,"Joseph Finder, Barry Levy, Jason Hall","Alexandra Milchan, Ryan Kavanaugh, Stuart Ford, Christophe Riandée, Allen Liu, Jason Beckman, Sam Englebardt, David S. Greathouse, Scott Lambert, Deepak Nayar, Tucker Tooley, William S. Beasley, Douglas Urbanski, William D. Johnson, Jason Colodne",Tom Holkenborg,5.6,39907.0,https://www.themoviedb.org/t/p/w600_and_h900_bestv2/isbiljuGztxLlcOvrSw5FkQDGEd.jpg,2013,0.0,0.0,https://www.imdb.com/title/tt1413495/
89,LOL,6.1,2676.0,Released,2012-02-10,10500000.0,97.0,11000000.0,tt1592873,en,LOL,"In a world connected by YouTube, iTunes, and Facebook, Lola and her friends navigate the peer pressures of high school romance and friendship while dodging their sometimes overbearing and confused parents. When Lola's mom, Anne, ""accidentally"" reads her teenage daughter's racy journal, she realizes just how wide their communication gap has grown.",16.241,"You can change your status, but not your heart.","Drama, Comedy, Romance","PIC Agency, Double Feature Films, Lol Productions, Mandate Pictures, Lionsgate, Mandate International, HopeTown Entertainment",United States of America,English,"Demi Moore, Rebecca Finnegan, Ashley Greene, Chris Astoyan, Arnold Agee, Elias Bahri, Thomas Jane, Jean-Luc Bilodeau, Loretta Higgins, Michelle Burke, Russell Steinberg, Sam Derence, Adam Sevani, Vichaan Kue, Leisa Pulido, Barbara Robertson, Marlo Thomas, Don Kress, Chameria Law, Jay Hernandez, Felix Dayan, Alix Freihage, Trevor Fahnstrom, Dwayne Roszkowski, Mike Ancrile, Fisher Stevens, Bridget Brown, Woody Carter, Armon York Williams, Jay Harper, Douglas Booth, Brady Tutton, Gina Gershon, Vivian Le Borgne, Barbara Szeman, Ashley Grace, Nora Dunn, Tanz Watson, Ron Causey, Tedra Millan, Cara AnnMarie, Austin Nichols, George Finn, Madelyn Lasky, Lynnette Gaza, Delphine Pontvieux, Apollo Bacala, Dennis North, Emma Nolan, Jim Carrane, Amanda Bright, Miley Cyrus, Lina Esco",Lisa Azuelos,Kieran McGuigan,"Kamir Aïnouz, Nans Delgado, Lisa Azuelos","Romain Le Grand, Jérôme Seydoux, Nathan Kahane, Michael Shamberg, Stacey Sher, Tish Cyrus, Lisa Azuelos, Esteban Martin",Rob Simonsen,4.4,59099.0,https://www.themoviedb.org/t/p/w600_and_h900_bestv2/sMMBX6OTdg8WGLDEKIe17OJ0gfh.jpg,2012,0.0,0.0,https://www.imdb.com/title/tt1592873/
90,Surviving Christmas,5.7,550.0,Released,2004-09-21,14793624.0,91.0,45000000.0,tt0252028,en,Surviving Christmas,"A wealthy executive, Drew Latham (Ben Affleck) has no close relationships and becomes nostalgic for his childhood home as Christmas approaches. When he visits the house and finds another family living there, he offers the residents, Tom Valco (James Gandolfini) and his wife, Christine (Catherine O'Hara), a large sum of money to pretend they are his parents. Soon Drew tests the couple's patience, and, when their daughter, Alicia (Christina Applegate), arrives, things get increasingly tense.",1.584,"This year, Christmas comes early. Really early.","Comedy, Romance","LivePlanet, Tall Trees Productions, DreamWorks Pictures",United States of America,English,"Tumbleweed, Linda Kerns, Tom Kenny, Bridgette Ho, Kate Hendrickson, John 'B.J.' Bryant, Anika Noni Rose, Precious McCall, William Thomas, Jr., Amy Halloran, David Atkinson, Catherine O'Hara, Kent Osborne, Sean Marquette, Udo Kier, Josh Zuckerman, Cynthia Marty, Melanie Taylor, Reynaldo Duran, Smalls, Stephen Root, Bill Macy, Michael Kosik, Kacie Borrowman, Jon Simanton, Caitlin Fein, Joan Blair, Sy Richardson, Karen Furno, Stephanie Faracy, Allison Queal, James Gandolfini, Angela Gacad, Tangie Ambrose, Jennifer Morrison, Hailey Noelle Johnson, Mike Bell, Ron Karabatsos, David Selby, John Carter Brown, K. Troy Zestos, Phill Lewis, Peter Jason, Ben Affleck, Sonya Eddy, Wynn Irwin, Amanda Fein, Christina Applegate, Bill Saito, Josh Siegel",Mike Mitchell,"Peter Lyons Collister, Tom Priestley Jr.","Jennifer Ventimilia, Joshua Sternin, Deborah Kaplan, Harry Elfont","Betty Thomas, Jenno Topping, Patricia Whitcher",Randy Edelman,5.5,29499.0,https://www.themoviedb.org/t/p/w600_and_h900_bestv2/8jHtvFpCOOqp2U2qwI3L3h10cUv.jpg,2004,0.0,0.0,https://www.imdb.com/title/tt0252028/
91,Great White,5.2,385.0,Released,2021-05-07,517929.0,91.0,0.0,tt8435002,en,Great White,"A sea plane is destroyed in a freak accident, five people find themselves drifting on a raft. At the mercy of the tide and with no hope of rescue, the helpless situation takes a horrifying turn when they are terrorized by a ravenous great white.",3.545,Take your final breath.,"Horror, Thriller","Thrills & Spills, Truth or Dare, ProdigyMovies, Filmology Finance","Australia, United Kingdom, United States of America",English,"Jason Wilder, Kate Jaggard, Kimie Tsukakoshi, Katrina Bowden, Aaron Jakubenko, Tatjana Marjanovic, Te Kohe Tuhaka, Patrick Atchison, Tim Kano",Martin Wilson,Tony O'Loughlan,Michael Boughen,"Michael Robertson, Jack Christian, Neal Kingston, Pam Collis, D.J. McPherson",Tim Count,4.2,9352.0,https://www.themoviedb.org/t/p/w600_and_h900_bestv2/5xQroYyf2gMAJDvLiWELHGEHD2h.jpg,2021,517929.0,0.0,https://www.imdb.com/title/tt8435002/
92,From Dusk Till Dawn 2: Texas Blood Money,4.6,467.0,Released,1999-03-16,6374.0,88.0,5000000.0,tt0120860,en,From Dusk Till Dawn 2: Texas Blood Money,"A bank-robbing gang of misfits heads to Mexico with the blueprints for the perfect million-dollar heist, but when one of the crooks wanders into the wrong bar, the thieving cohorts develop a thirst for blood.",14.313,The year's most thrilling sequel!,"Crime, Action, Horror, Thriller","A Band Apart, Dimension Films, Los Hooligans Productions, Miramax",United States of America,"English, Español","James Parks, Tiffani Thiessen, Liane Coyler, Muse Watson, Joe Virzi, Shaun Arnolds, Brett Harrelson, Timothy Patrick Quill, Yoyo, Tania Kline, Lara Bye, Bo Hopkins, Kevin Smith, Scott Spiegel, Duane Whitaker, Terry Norton, Bruce Campbell, Danny Trejo, Eddie Fiola, Troy Niemans, Stacie Randall, Scott Rogers, Raymond Cruz, Lanon Prigge, Joel Jordan, Maria Checa, James Ryan, Robert Patrick",Scott Spiegel,Philip Lee,"Duane Whitaker, Scott Spiegel, Boaz Yakin","Gianni Nunnari, Robert Rodriguez, Meir Teper, Michael S. Murphey, Lawrence Bender, Quentin Tarantino",Joseph Williams,4.2,18013.0,https://www.themoviedb.org/t/p/w600_and_h900_bestv2/in11KZuaVuJnxVBipxYocDqMQbW.jpg,1999,0.0,0.0,https://www.imdb.com/title/tt0120860/
93,Horrible Bosses,6.573,6442.0,Released,2011-07-08,209838559.0,98.0,35000000.0,tt1499658,en,Horrible Bosses,"For Nick, Kurt and Dale, the only thing that would make the daily grind more tolerable would be to grind their intolerable bosses into dust. Quitting is not an option, so, with the benefit of a few-too-many drinks and some dubious advice from a hustling ex-con, the three friends devise a convoluted and seemingly foolproof plan to rid themselves of their respective employers... permanently.",8.5648,Ever wish your boss was dead?,"Comedy, Crime","New Line Cinema, RAT Entertainment",United States of America,English,"Jason Bateman, Julie Bowen, Steve Wiebe, Reginald Ballard, Christina Blevins, Wendell Pierce, Lindsay Sloane, Jennifer Hasty, Diana Toshiko, Bob Newhart, P.J. Byrne, Jennifer Aniston, Seth Gordon, Ron White, Meghan, Duchess of Sussex, Jamie Foxx, Celia Finkelstein, Kevin Spacey, Isaiah Mustafa, Carla Maria Cadotte, Barry Livingston, Jason Sudeikis, Colin Farrell, Michael Albala, George Back, Brian George, Donald Sutherland, Charlie Day, Ioan Gruffudd, Jimm Giannini, Peter Breitmayer, John Francis Daley, Chad L. Coleman, Scott Rosendall, Dave Sheridan",Seth Gordon,David Hennings,"Jonathan Goldstein, Michael Markowitz, John Francis Daley","Brett Ratner, Jay Stern, Michael Disco, Diana Pokorny, Samuel J. Brown, Richard Brener, Toby Emmerich",Christopher Lennertz,6.9,478937.0,https://www.themoviedb.org/t/p/w600_and_h900_bestv2/uQkUwgyFHAm0jGQERPG6Z9o9Zbj.jpg,2011,174838559.0,499.53874,https://www.imdb.com/title/tt1499658/
94,Wheelman,6.1,641.0,Released,2017-10-20,0.0,82.0,5000000.0,tt5723286,en,Wheelman,A getaway driver for a bank robbery realizes he has been double crossed and races to find out who betrayed him.,3.3264,Drive fast. Think faster.,"Action, Crime, Thriller","The Solution, WarParty Films",United States of America,English,"Wendy Moniz, Keenen Bray, Chad Knorr, Steven Rears, Shea Whigham, Chris Nolte, Leah Procito, Caitlin Carmichael, William Xifaras, Mike Fierro, Precious White, Jessica Rockwood, Jeff Medeiros, George Carroll, Jeffrey Samai, John Cenatiempo, Mike Koutrobis, Seth Ayott, John Vincent Mason, Garret Dillahunt, James Fierro, Frank Grillo, Patrick M. Walsh, Jeffery Kincannon, Eddie J. Fernandez Jr., Ken Murray, Joe Dryden",Jeremy Rush,Juan Miguel Azpiroz,Jeremy Rush,"Scott C. Silver, Art Robinson, Chady Eli Mattar, Myles Nestel, J. Todd Harris, Lisa Wilson, Stephen Emery, Gianni Altobelli, Joe Carnahan, Josh Deitell, Frank Grillo, Craig Chapman, Anders Erdén, George Parra, Philip Krepela","Brooke Blair, Will Blair",6.4,22878.0,https://www.themoviedb.org/t/p/w600_and_h900_bestv2/qitUsN1Ea8Bsg8R0QtBB35H2xgB.jpg,2017,0.0,0.0,https://www.imdb.com/title/tt5723286/
95,L!fe Happens,5.5,140.0,Released,2011-06-18,30905.0,100.0,930000.0,tt1726589,en,L!fe Happens,"A comedy centered on two best friends, Kim and Deena, who fight to maintain normalcy in their lives after Kim gets pregnant and has a baby.",6.791,A comedy that's a real mother.,"Comedy, Drama, Romance","Dot Dot Dot Productions, Stardust Pictures","Canada, United States of America","English, Deutsch","Merrin Dungey, Justin Kirk, Jenny Mollen, Katie Morgan, Shelby Janes, Marguerite Moreau, Alex Essoe, Marghi Coiro, Andrea Savage, Rhys Coiro, Ivan Shaw, Colin Egglesfield, Cody Benjamin Lee, Jevin Rae Udcoff, Jem Walrath, Abby Brammell, Nic Novicki, Brody Nicholas Lee, Laura Silverman, Connor Ross, Amber Martinez, Faye Walrath, Geoff Stults, Carlton Diggs, Tesla Allgood, Bruce Robert Cole, Zachary Ross, Darrel Davenport, Krysten Ritter, Louis Silvers, Milana Vayntrub, Henry Nilsen Healy, Edith Jefferson, Devan Leos, Lauren Conrad, Kristen Johnston, Claire Wood, Fallon Goodson, Rachel Bilson, Brandon Quinn, Jason Biggs, Jon Heder, Kate Bosworth, Seymour Cassel",Kat Coiro,Doug Chamberlain,"Krysten Ritter, Kat Coiro",Justin L. Levine,Mateo Messina,5.6,8226.0,https://www.themoviedb.org/t/p/w600_and_h900_bestv2/xFq3IQEWCBBoPP7pCb4TarAi8tt.jpg,2011,0.0,0.0,https://www.imdb.com/title/tt1726589/
96,Boss Level,6.9,1695.0,Released,2021-02-19,2000000.0,101.0,45000000.0,tt7638348,en,Boss Level,"A former special forces agent is trapped in a time loop and relives his death over and over again. To escape the terrible situation, he must track down those responsible and stop them.",9.0749,Running out of time. And lives.,"Action, Science Fiction, Thriller","WarParty Films, Highland Film Group, Ingenious Media, EFO Films, Big Red Films, Diamond Film Productions, Edver Films, River Bay Films, The Fyzz, Scott Free Productions, MoviePass Films","United Kingdom, United States of America",English,"Gjee Wade II, Benjamin Weaver, Athena Akers, Travis Gomez, Adam G. Simon, Ken Melde, Leanne Scarbro, William Fumicello, Jaydyn Gay, Melanie Kiran, Rashad Evans, John Cenatiempo, Joey Thurmond, Adetinpo Thomas, Swen Temmel, Armida Lopez, Joe Carnahan, Tony Bradley, Mason Pike, Joe Knezevich, Milton Saul, Annabelle Wallis, Mathilde Ollivier, Sheaun McKinney, James William Ballard, Mel Gibson, Jared Leland Gore, Naomi Watts, Ken Jeong, Brendan Johnston, Rigan Machado, MWW Michael Wilkerson, Will Sasso, Rio Grillo, Anthony McDowell, Robert Goon, Aaron Beelner, Tyler Jon Olson, Eric Etebari, Dane MacWhinnie, Jeremy Miller, Frank Grillo, Selina Lo, Michael Tourek, Meadow Williams, Mallory Kidwell, Michelle Yeoh, Carlos Aviles, Sean K. Jones, Quinton 'Rampage' Jackson, Henry Penzi, Buster Reeves, Rob Gronkowski, John Thelan Reece, Eric Goins, Robert Tinsley, Thomas DeWier",Joe Carnahan,Juan Miguel Azpiroz,"Joe Carnahan, Eddie Borey, Chris Borey","Randall Emmett, Robert Jones, George Furla, Jennifer Lucas, Swen Temmel, Joe Carnahan, Charles Auty, Henry Winterstern, Jonathan Helmuth, Timothy C. Sullivan, Carolyn Folks, Mark DeVitre, Chris Charalambous, Alastair Burlingham, Gary Raskin, Brandon K. Hogan, Arianne Fraser, Nadine Luque, Jules Daly, Delphine Perrier, Christelle Conan, Anders Erdén, Richard Clark Jr., Frank Grillo, Meadow Williams, Wayne Marc Godfrey, Mitch Lowe, Ted Fox, Alexander Eckert",Clinton Shorter,6.8,84771.0,https://www.themoviedb.org/t/p/w600_and_h900_bestv2/nt8on8Ge0Lsw0oF6EbmGiDV69Hf.jpg,2021,0.0,0.0,https://www.imdb.com/title/tt7638348/
97,When in Rome,6.0,1219.0,Released,2010-01-29,43042835.0,91.0,55000000.0,tt1185416,en,When in Rome,"Disillusioned with romance, Beth, an ambitious New Yorker, travels to Rome for her sister's wedding, where she plucks magic coins from a special fountain of love. The coins attract unwanted attention from an assortment of odd yet ardent suitors:  a sausage merchant, a street magician, an artist, and a male model. But when the best man from the wedding, persistent reporter Nick, throws his hat in the ring, Beth wonders if his love is the real thing.",1.9793,All is fair in love and Rome.,"Comedy, Fantasy, Romance","Krasnoff / Foster Entertainment, Touchstone Pictures",United States of America,"Italiano, English","Ghostface Killah, Shaquille O'Neal, J.T. Arbogast, Alexa Havins, Alexis Dziena, Danny DeVito, Lee Pace, Jessica Howell, Will Arnett, Liz Olin, Eugene Cordero, Abe Goldfarb, Keir O'Donnell, George Deihl Jr., Ebony Jo-Ann, Bing Putney, Natalie Joy Johnson, Charlie Sanders, Bobby Moynihan, Anjelica Huston, Lawrence Taylor, Josh Duhamel, Peter Donald Badalamenti II, Dax Shepard, Pasquale Esposito, Carlo D'Amore, Efren Ramirez, Francesco De Vito, Judith Malina, Geoffrey Cantor, Don Johnson, Luca Calvani, Kristen Bell, Jon Heder, Kristen Schaal, Eric Zuckerman, Kate Micucci, Quisha Saunders, John Mainieri, Peggy Lipton",Mark Steven Johnson,John Bailey,"David Weissman, David Diamond","Mark Steven Johnson, Gary Foster, Steven Roffer, Ezra Swerdlow, Andrew Panay, Mindy Farrell",Christopher Young,5.5,66202.0,https://www.themoviedb.org/t/p/w600_and_h900_bestv2/pteIGpJpgh2aUh3jMqZnomB1rw1.jpg,2010,0.0,0.0,https://www.imdb.com/title/tt1185416/
98,Wyrmwood: Apocalypse,5.8,117.0,Released,2022-04-14,263293.0,88.0,0.0,tt14858054,en,Wyrmwood: Apocalypse,"In a zombie-infested Australian wasteland, soldier Rhys has dedicated his life to tracking and capturing survivors for the Surgeon General in hopes of finding a cure.",20.117,Get ready for the fight of your bloody life.,"Action, Horror","Bronte Pictures, Guerilla Films, Apostle Digital","Australia, United States of America",English,"Tasia Zalar, Tristan McKinnon, Josh Finn, Shantae Barnes-Cowan, David Collins, Nicholas Boshier, Goran D. Kleut, Blake Connor, Luke McKenzie, Dean Kyrwood, Jim Robison, Jake Ryan, Glen McLaughlin, Anthony Duong, Lauren Grimson, Bianca Bradey, Paul Pedersen, Jay Gallagher, Eric Duong, Alex Jewson",Kiah Roache-Turner,Tim Nagle,"Kiah Roache-Turner, Tristan Roache-Turner","Todd Brown, Sam Gain-Emery, Tim Nagle, Rhys William Nicolson, Tristan Roache-Turner, Blake Northfield, Maxime Cottray, Clement Dunn",Michael Lira,5.5,3667.0,https://www.themoviedb.org/t/p/w600_and_h900_bestv2/b1OSwHDIflDSbirMr6k3Ivqf2yu.jpg,2022,263293.0,0.0,https://www.imdb.com/title/tt14858054/
99,Dead Heat on a Merry-Go-Round,5.1,15.0,Released,1966-10-12,0.0,104.0,2000000.0,tt0060287,en,Dead Heat on a Merry-Go-Round,A sophisticated con man mounts an intricate plan to rob an airport bank while the Soviet premier is due to arrive.,0.4922,The slickest swingin'est con man who ever took the world for a ride!,"Crime, Thriller, Comedy",Columbia Pictures,United States of America,English,"Paul Birch, Nina Wayne, Phillip Pine, James Westerfield, Wolfe Barzell, Rose Marie, Tyler McVey, Stephanie Hill, Robert Webber, Harry Holcombe, Tanya Lemani George, Marian McCargo, Joseph Mell, Al Nalbandian, Harrison Ford, Vic Tayback, Michael St. Angel, Camilla Sparv, Todd Armstrong, James Coburn, Abel Fernandez, Alex Rodine, Severn Darden, Roy Glenn, Larry D. Mann, Ben Astar, Simon Scott, Rex Holman, Steve London, Aldo Ray, Michael Strong",Bernard Girard,Lionel Lindon,Bernard Girard,Carter DeHaven,Stu Phillips,5.9,1451.0,https://www.themoviedb.org/t/p/w600_and_h900_bestv2/ustANP8zxG3FvtN12RY9aYAA3kc.jpg,1966,0.0,0.0,https://www.imdb.com/title/tt0060287/
100,"Those Lips, Those Eyes",3.0,2.0,Released,1980-08-15,804713.0,105.0,0.0,tt0081625,en,"Those Lips, Those Eyes",A small-town star helps a young apprentice land the girl of his dreams.,2.363,"On stage, Harry Crystal is sheer magic. In the wings, Artie Shoemaker is learning his tricks!","Comedy, Romance, Music, Drama","Herb Jaffe, United Artists",United States of America,English,"Jerry Stiller, Herbert Berghof, Glynnis O'Connor, Joseph Maher, George Morfogen, William Robertson, Mark Keyloun, Marshall Colt, Kevin McCarthy, Rose Arrick, Mary Cadorette, Randy Stumpf, Anthony Mannino, Tom Hulce, Frank Langella",Michael Pressman,Bobby Byrne,David Shaber,"Michael Pressman, Steven-Charles Jaffe, Herb Jaffe",Michael Small,6.4,346.0,https://www.themoviedb.org/t/p/w600_and_h900_bestv2/i6lEkVq3TCWXJxbdcQYpAq0Ly2p.jpg,1980,804713.0,0.0,https://www.imdb.com/title/tt0081625/
101,Halloween,6.2,2401.0,Released,2007-08-31,80460948.0,110.0,15000000.0,tt0373883,en,Halloween,"The early years of young Michael Myers and the events leading up to his fateful Halloween night murder rampage in the quiet town of Haddonfield, Illinois.",3.5929,Evil has a destiny.,Horror,"Dimension Films, Nightfall Productions, Spectacle Entertainment Group, Trancas International Films",United States of America,English,"Tyler Mane, Richard Lynch, Pat Skipper, Gary Grossman, Olja Hrustic, Steve Boyles, Mel Fair, Paul Kampf, Sydnie Pitzer, Nikki Taylor Melton, Jenny Gregg Stewart, Hanna Hall, Sybil Danning, Myla Pitzer, William Forsythe, Lew Temple, Daeg Faerch, Dee Wallace, Richard Fancy, Daryl Sabara, Skyler Gisondo, Kristina Klebe, Clint Howard, Daniel Roebuck, Max Van Ville, Kazu Nagahama, Udo Kier, Courtney Gains, Micky Dolenz, Ken Foree, Ezra Buzzington, Nick Mennell, Adam Weisman, Malcolm McDowell, Danielle Harris, Brad Dourif, Stella Altman, Richmond Arquette, Sheri Moon Zombie, Deven Streeton, Bill Moseley, Sid Haig, Danny Trejo, Leslie Easterbrook, Scout Taylor-Compton, Tom Towles",Rob Zombie,Phil Parmet,"Debra Hill, Rob Zombie, John Carpenter","Matthew Stein, Andy Gould, Bob Weinstein, Malek Akkad, Harvey Weinstein, Rob Zombie",Tyler Bates,6.0,134937.0,https://www.themoviedb.org/t/p/w600_and_h900_bestv2/cD8JrfSEI4j7WVnKM1GdiYzMoUh.jpg,2007,65460948.0,436.40632000000005,https://www.imdb.com/title/tt0373883/
102,The Baltimore Bullet,6.0,10.0,Released,1980-04-01,215498.0,103.0,0.0,tt0080412,en,The Baltimore Bullet,A tale of two hustlers trying to set up a big game.,4.227,Hide your women. Lock up your cash. Billie Joe & the Baltimore Bullet are on their way!,"Comedy, Crime, Drama",Filmfair Communications,United States of America,English,"John Alderman, Eric Laneuville, Whitney Rydbeck, Troy Melton, Jimmy Mataya, David Cadiente, Walter Wyatt, Peter Jason, Pola Miller, Lionel Ferbos, Debbie Selnik, Jack O'Halloran, Sterling Vappie, Michael Lerner, Robert Acey, Irving D. Crane, Mickey Gilbert, Ronee Blakley, Charlie Picerni, Edward Hoerner, Calvin Lockhart, Ray Martin, Steve Mizerak, Shepherd Sanders, Ed Bakey, Victor Paul, Bruce Boxleitner, Bruce Reed, Joyce Mandel, John Brascia, Marco Rodríguez, Arell Blanton, Jordan Michals, Omar Sharif, Robert Hewes, Randy Carter, Lou Butera, Paul Barselou, Michael Sigel, Willie Mosconi, Rockne Tarkington, Philip Roth, Donald Hood, Harold Jeansonne, Gigi Green, Jeff Temkin, James Rempe, John Wilmot, Joe Montana, James J. Casino, Cisse Cameron, Al Maines, James Coburn, Rudy Oliver, Richard Florence, Lou Wagner, Garrie Kelly, Bill Vint, Jon Jacobs, John Rose, Allen Hopkins, Jason Ronard, Pete Margo, Don Brady, George Fisher, T.J. Castronovo, Shay Duffin",Robert Ellis Miller,James Crabe,"John Brascia, Robert Vincent O'Neil","Norman G. Rudman, John Brascia, William D. Jekel",Johnny Mandel,5.9,622.0,https://www.themoviedb.org/t/p/w600_and_h900_bestv2/hj3CKA1N4ISONepiXRk8A8fprA4.jpg,1980,215498.0,0.0,https://www.imdb.com/title/tt0080412/
103,Fantastic Beasts: The Crimes of Grindelwald,6.846,11026.0,Released,2018-11-14,654900000.0,134.0,200000000.0,tt4123430,en,Fantastic Beasts: The Crimes of Grindelwald,"Gellert Grindelwald has escaped imprisonment and has begun gathering followers to his cause—elevating wizards above all non-magical beings. The only one capable of putting a stop to him is the wizard he once called his closest friend, Albus Dumbledore. However, Dumbledore will need to seek help from the wizard who had thwarted Grindelwald once before, his former student Newt Scamander, who agrees to help, unaware of the dangers that lie ahead. Lines are drawn as love and loyalty are tested, even among the truest friends and family, in an increasingly divided wizarding world.",5.6326,Fate of one. Future of all.,"Fantasy, Adventure","Warner Bros. Pictures, Heyday Films","United Kingdom, United States of America","English, Français","Alfie Simmons, Andrew Blackall, Annarie Boor, Callum Turner, Ingvar E. Sigurðsson, Hollie Burgess, Isaac Cortinovis Johnson, Claudia Kim, William Nadylam, Fiona Glascott, Zoë Kravitz, Brontis Jodorowsky, Grant Crookes, Jessica Williams, Joshua Shea, Ruby Woolfenden, Ed Gaughan, Claudius Peters, Jason Redshaw, Ezra Miller, Sarah-Jane De Crespigny, Christopher Birks, Keith Chanter, Johanna Thea, Sean Coleman, Jag Patel, Deepak Anand, Linda Santiago, Jemima Woolnough, Simon Wan, Ólafur Darri Ólafsson, Callum Forman, Jamie Campbell Bower, Eddie Redmayne, Kevin Guthrie, Derek Riddell, Toby Regbo, Danielle Hugues, Liv Hansen, Morrison Thomas, Simon Meacock, Israel Ruiz, Deano Bugatti, Poppy Corby-Tuech, Johnny Depp, Bart Soroczynski, Wolf Roth, Phil Hodges, Hugh Quarshie, Dave Simon, Michael Haydon, Aykut Hilmi, Ana Cilas, David Sakurai, Mike Wood, Alison Sudol, Olwen Fouéré, Victoria Yeates, Jude Law, Alfie Mailley, Andrew Turner, David Wilmot, Thea Lamb, Carmen Ejogo, Natalie Lauren, Alfrun Rose, Dan Fogler, Stephen McDade, Tim Ingall, Maja Bloom, Isaac Domingos, Ryan Hannaford, Adrian Wheeler, Olivia Popica, Donna Preston, Cornell John, Katherine Waterston, Sabine Crossen, Nasir Jama, Isaura Barbé-Brown, Jeremy Oliver",David Yates,Philippe Rousselot,J.K. Rowling,"Steve Kloves, Danny Cohen, Tim Lewis, David Heyman, Lionel Wigram, J.K. Rowling, Neil Blair, Rick Senat",James Newton Howard,6.5,321222.0,https://www.themoviedb.org/t/p/w600_and_h900_bestv2/fMMrl8fD9gRCFJvsx0SuFwkEOop.jpg,2018,454900000.0,227.45000000000002,https://www.imdb.com/title/tt4123430/
